cond,lam_eff,member,completion,laps
wind_const,0.0,M1,1.0,3
wind_const,0.0,M1+ESO,0.6666666666666666,3
wind_const,0.0,M1+L1,1.0,3
wind_const,0.0,mppi_l1,0.6666666666666666,3
wind_const,0.25,M1,1.0,3
wind_const,0.25,M1+ESO,0.6666666666666666,3
wind_const,0.25,M1+L1,1.0,3
wind_const,0.25,mppi_l1,0.6666666666666666,3
wind_const,0.5,M1,0.6666666666666666,3
wind_const,0.5,M1+ESO,1.0,3
wind_const,0.5,M1+L1,1.0,3
wind_const,0.5,mppi_l1,0.6666666666666666,3
wind_const,0.75,M1,0.3333333333333333,3
wind_const,0.75,M1+ESO,1.0,3
wind_const,0.75,M1+L1,1.0,3
wind_const,0.75,mppi_l1,1.0,3
wind_const,1.0,M1,0.3333333333333333,3
wind_const,1.0,M1+ESO,1.0,3
wind_const,1.0,M1+L1,1.0,3
wind_const,1.0,mppi_l1,0.6666666666666666,3
wind_const,1.5,M1,0.0,3
wind_const,1.5,M1+ESO,0.6666666666666666,3
wind_const,1.5,M1+L1,0.3333333333333333,3
wind_const,1.5,mppi_l1,0.3333333333333333,3
wind_const,2.0,M1,0.0,3
wind_const,2.0,M1+ESO,0.0,3
wind_const,2.0,M1+L1,0.0,3
wind_const,2.0,mppi_l1,0.6666666666666666,3
wind_const,3.0,M1,0.0,3
wind_const,3.0,M1+ESO,0.0,3
wind_const,3.0,M1+L1,0.0,3
wind_const,3.0,mppi_l1,0.0,3
wind_const,4.0,M1,0.0,3
wind_const,4.0,M1+ESO,0.0,3
wind_const,4.0,M1+L1,0.0,3
wind_const,4.0,mppi_l1,0.0,3
wind_const,6.0,M1,0.0,3
wind_const,6.0,M1+ESO,0.0,3
wind_const,6.0,M1+L1,0.0,3
wind_const,6.0,mppi_l1,0.0,3
wind_const,8.0,M1,0.0,3
wind_const,8.0,M1+ESO,0.0,3
wind_const,8.0,M1+L1,0.0,3
wind_const,8.0,mppi_l1,0.0,3
payload,0.0,M1,1.0,3
payload,0.0,M1+ESO,0.6666666666666666,3
payload,0.0,M1+L1,1.0,3
payload,0.0,mppi_l1,0.6666666666666666,3
payload,0.25,M1,1.0,3
payload,0.25,M1+ESO,1.0,3
payload,0.25,M1+L1,1.0,3
payload,0.25,mppi_l1,0.6666666666666666,3
payload,0.5,M1,1.0,3
payload,0.5,M1+ESO,1.0,3
payload,0.5,M1+L1,1.0,3
payload,0.5,mppi_l1,0.6666666666666666,3
payload,0.75,M1,1.0,3
payload,0.75,M1+ESO,1.0,3
payload,0.75,M1+L1,1.0,3
payload,0.75,mppi_l1,0.6666666666666666,3
payload,1.0,M1,1.0,3
payload,1.0,M1+ESO,1.0,3
payload,1.0,M1+L1,1.0,3
payload,1.0,mppi_l1,0.3333333333333333,3
payload,1.5,M1,0.3333333333333333,3
payload,1.5,M1+ESO,1.0,3
payload,1.5,M1+L1,1.0,3
payload,1.5,mppi_l1,0.3333333333333333,3
payload,2.0,M1,0.3333333333333333,3
payload,2.0,M1+ESO,0.3333333333333333,3
payload,2.0,M1+L1,0.3333333333333333,3
payload,2.0,mppi_l1,0.0,3
payload,3.0,M1,0.0,3
payload,3.0,M1+ESO,0.0,3
payload,3.0,M1+L1,0.0,3
payload,3.0,mppi_l1,0.0,3
payload,4.0,M1,0.0,3
payload,4.0,M1+ESO,0.0,3
payload,4.0,M1+L1,0.0,3
payload,4.0,mppi_l1,0.0,3
payload,6.0,M1,0.0,3
payload,6.0,M1+ESO,0.0,3
payload,6.0,M1+L1,0.0,3
payload,6.0,mppi_l1,0.0,3
payload,8.0,M1,0.0,3
payload,8.0,M1+ESO,0.0,3
payload,8.0,M1+L1,0.0,3
payload,8.0,mppi_l1,0.0,3
wind_gust,0.0,M1,1.0,3
wind_gust,0.0,M1+ESO,0.6666666666666666,3
wind_gust,0.0,M1+L1,1.0,3
