role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
train,200000,reject,frame_crossing+arena+ref_contact,5.241,5.711,14.693,10.883,1.298,6.802,2.36,2.0,0.0
train,200001,reject,frame_crossing+ref_contact,3.967,5.192,14.784,5.81,1.18,4.682,2.029,1.0,0.0
train,200002,reject,frame_crossing+arena+ref_contact,4.521,5.112,14.71,7.7,1.162,5.252,1.609,2.0,0.0
train,200003,reject,frame_crossing+arena+ref_contact,4.89,5.546,14.694,8.995,1.26,6.164,1.845,3.0,0.0
train,200004,reject,frame_crossing+ref_contact,4.49,4.938,14.535,7.426,1.122,5.039,1.073,1.0,0.0
train,200005,reject,frame_crossing+arena+ref_contact,5.218,5.904,14.733,7.733,1.342,7.001,1.172,2.0,0.0
train,200006,reject,frame_crossing+arena+ref_contact,4.631,4.667,14.691,5.89,1.061,4.912,1.433,1.0,0.0
train,200007,reject,arena+frame_margin,4.418,5.523,14.569,8.273,1.255,5.546,1.789,0.0,0.009
train,200008,reject,frame_crossing+arena+ref_contact,4.606,5.625,14.731,6.723,1.278,5.888,1.205,1.0,0.0
train,200009,reject,arena,4.566,6.143,14.704,7.674,1.396,6.375,1.176,0.0,0.044
train,200010,reject,frame_crossing+arena+ref_contact,4.661,5.806,14.78,7.283,1.32,6.15,1.747,3.0,0.0
train,200011,reject,arena+frame_margin,3.975,4.667,14.681,8.118,1.061,4.215,1.171,0.0,0.013
train,200012,reject,frame_crossing+arena+ref_contact,4.595,5.905,14.726,9.604,1.342,6.167,2.72,3.0,0.0
train,200013,reject,frame_crossing+ref_contact,4.708,5.477,14.639,7.962,1.245,5.861,1.031,3.0,0.0
train,200014,reject,frame_crossing+arena+ref_contact,4.61,5.359,14.568,7.124,1.218,5.615,1.56,2.0,0.0
train,200015,reject,frame_crossing+arena+ref_contact,4.594,6.34,14.624,5.956,1.441,6.619,1.029,1.0,0.0
train,200016,reject,frame_crossing+arena+ref_contact,4.708,5.155,14.728,8.897,1.172,5.515,1.133,2.0,0.0
train,200017,reject,frame_crossing+arena+frame_margin,4.623,6.022,14.701,6.198,1.369,6.326,1.031,1.0,0.015
train,200018,reject,frame_crossing+arena+ref_contact,4.362,5.699,14.726,8.089,1.295,5.65,1.523,1.0,0.0
train,200019,reject,frame_crossing+arena+ref_contact,4.95,5.353,14.626,6.682,1.217,6.022,1.766,2.0,0.0
train,200020,reject,frame_crossing+arena+ref_contact,4.692,5.586,14.647,9.748,1.27,5.958,1.795,2.0,0.0
train,200021,pass,,4.325,5.143,14.463,9.371,1.169,5.055,1.263,0.0,0.039
train,200022,reject,frame_crossing+arena+ref_contact,3.958,4.224,14.722,8.263,1.0,3.958,1.031,1.0,0.0
train,200023,reject,frame_crossing+arena+ref_contact,5.0,6.719,14.745,8.447,1.527,7.635,1.383,2.0,0.0
train,200024,reject,frame_crossing+arena+ref_contact,5.512,5.776,14.562,8.613,1.313,7.236,2.677,2.0,0.0
train,200025,reject,frame_crossing+arena+ref_contact,4.628,6.438,14.622,7.058,1.463,6.772,1.031,3.0,0.0
train,200026,reject,frame_crossing+arena+ref_contact,4.667,4.089,14.591,8.106,1.0,4.667,1.228,2.0,0.0
train,200027,reject,frame_crossing+arena+ref_contact,4.979,5.152,14.731,9.267,1.171,5.829,1.043,3.0,0.0
train,200028,reject,frame_crossing+arena+ref_contact,4.09,4.287,14.661,5.667,1.0,4.09,1.523,1.0,0.0
train,200029,reject,frame_crossing+arena+ref_contact,4.848,5.287,14.746,8.784,1.202,5.826,1.92,2.0,0.0
train,200030,reject,frame_crossing+arena+ref_contact,3.76,3.922,14.722,6.883,1.0,3.76,1.097,1.0,0.0
