role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
study,0,reject,frame_crossing+arena+ref_contact,4.641,5.41,14.64,7.82,1.23,5.707,1.972,2.0,0.0
study,1,reject,frame_crossing+arena+ref_contact,4.905,6.019,14.717,7.473,1.368,6.711,1.198,1.0,0.0
study,2,reject,frame_crossing+arena+ref_contact,4.973,5.097,14.696,9.9,1.158,5.761,1.235,2.0,0.0
study,3,reject,frame_crossing+arena+ref_contact,4.705,5.806,14.65,7.268,1.32,6.209,1.077,2.0,0.0
study,4,pass,,4.181,3.986,14.726,7.352,1.0,4.181,1.032,0.0,0.044
study,5,reject,frame_crossing+arena+ref_contact,4.499,4.981,14.619,5.823,1.132,5.093,1.837,1.0,0.0
study,6,reject,frame_crossing+arena+ref_contact,4.632,5.192,14.699,9.727,1.18,5.465,1.5,2.0,0.0
study,7,reject,frame_crossing+arena+ref_contact,4.03,5.414,14.676,6.009,1.23,4.959,1.405,1.0,0.0
study,8,reject,arena,4.023,5.367,14.752,7.076,1.22,4.907,1.849,0.0,0.044
study,9,reject,arena+frame_margin,4.208,5.54,14.691,9.134,1.259,5.298,1.695,0.0,0.024
study,10,reject,frame_crossing+arena+ref_contact,4.716,5.024,14.715,7.591,1.142,5.385,1.031,1.0,0.0
study,11,reject,frame_crossing+arena+ref_contact,4.326,4.763,14.721,10.116,1.083,4.683,1.523,1.0,0.0
study,12,reject,frame_crossing+arena+ref_contact,4.934,6.059,14.733,6.406,1.377,6.795,1.433,1.0,0.0
study,13,reject,frame_crossing+arena+ref_contact,5.018,6.153,14.725,6.281,1.398,7.017,1.118,5.0,0.0
study,14,reject,arena+frame_margin,4.717,4.691,14.7,7.089,1.066,5.029,1.271,0.0,0.008
study,15,reject,frame_crossing+arena+ref_contact,5.143,5.299,14.701,8.714,1.204,6.194,1.058,3.0,0.0
study,16,reject,frame_crossing+frame_margin,4.719,4.495,14.459,6.684,1.022,4.821,1.097,1.0,0.006
study,17,reject,frame_crossing+arena+ref_contact,4.085,4.608,14.749,6.153,1.047,4.279,1.383,2.0,0.0
study,18,reject,frame_crossing+arena+ref_contact,4.578,3.876,14.471,6.476,1.0,4.578,1.384,2.0,0.0
study,19,reject,frame_crossing+arena+ref_contact,4.698,5.466,14.693,7.937,1.242,5.836,1.189,1.0,0.0
study,20,reject,frame_crossing+arena+ref_contact,4.363,4.859,14.622,5.98,1.104,4.818,1.026,3.0,0.0
study,21,reject,frame_crossing+arena+ref_contact,4.581,4.411,14.755,9.987,1.002,4.592,1.026,2.0,0.0
study,22,reject,frame_crossing+arena+ref_contact,4.355,6.067,14.76,8.104,1.379,6.004,1.761,2.0,0.0
study,23,reject,frame_crossing+ref_contact,5.199,5.179,14.544,9.761,1.177,6.119,2.083,3.0,0.0
study,24,reject,frame_crossing+arena+ref_contact,4.676,5.325,14.731,8.656,1.21,5.658,1.047,2.0,0.0
study,25,pass,,4.125,4.388,14.662,5.383,1.0,4.125,1.274,0.0,0.041
study,26,reject,frame_crossing+arena+ref_contact,5.055,6.389,14.683,7.075,1.452,7.34,1.363,1.0,0.0
study,27,reject,frame_crossing+arena+ref_contact,4.515,6.155,14.595,5.952,1.399,6.316,1.398,1.0,0.0
study,28,reject,frame_crossing+arena+ref_contact,4.948,5.251,14.794,8.046,1.193,5.904,2.058,2.0,0.0
study,29,reject,frame_crossing+arena+ref_contact,4.968,5.862,14.707,7.343,1.332,6.618,1.639,2.0,0.0
study,30,reject,frame_crossing+arena+ref_contact,4.723,6.253,14.756,9.429,1.421,6.712,1.694,3.0,0.0
study,31,reject,frame_crossing+arena+ref_contact,4.757,4.759,14.493,6.955,1.082,5.145,1.158,1.0,0.0
study,32,reject,frame_crossing+arena+ref_contact,5.018,5.647,14.59,8.145,1.283,6.44,2.217,1.0,0.0
study,33,reject,frame_crossing+ref_contact,4.685,5.628,14.669,7.529,1.279,5.993,1.204,1.0,0.0
study,34,reject,frame_crossing+arena+ref_contact,4.225,5.434,14.71,6.527,1.235,5.219,1.031,2.0,0.0
study,35,reject,frame_crossing+arena+ref_contact,4.341,5.07,14.586,6.525,1.152,5.002,1.419,1.0,0.0
study,36,reject,frame_crossing+arena+ref_contact,4.88,6.428,14.705,8.319,1.461,7.129,1.952,3.0,0.0
study,37,reject,frame_crossing+arena+ref_contact,5.104,5.357,14.726,9.264,1.218,6.214,1.987,2.0,0.0
study,38,reject,frame_crossing+arena+ref_contact,5.171,6.677,14.738,6.752,1.517,7.847,1.172,4.0,0.0
study,39,reject,frame_crossing+arena+ref_contact,4.916,5.892,14.633,8.083,1.339,6.583,1.172,2.0,0.0
study,40,reject,frame_crossing+ref_contact,4.885,5.686,14.717,7.315,1.292,6.313,1.235,1.0,0.0
study,41,reject,frame_crossing+arena+ref_contact,4.427,5.605,14.699,6.886,1.274,5.639,1.323,1.0,0.0
study,42,reject,frame_crossing+arena+ref_contact,4.309,5.19,14.668,8.652,1.18,5.083,1.274,2.0,0.0
study,43,reject,frame_crossing+arena+ref_contact,4.214,4.563,14.705,6.812,1.037,4.37,1.032,1.0,0.0
study,44,reject,frame_crossing+arena+ref_contact,4.755,4.729,14.667,6.758,1.075,5.111,1.053,3.0,0.0
study,45,reject,frame_crossing+arena+ref_contact,5.025,5.649,14.745,7.635,1.284,6.452,1.553,2.0,0.0
study,46,reject,frame_crossing+arena+ref_contact,4.995,6.443,14.728,8.514,1.464,7.315,2.498,2.0,0.0
study,47,reject,frame_crossing+arena+ref_contact,4.48,5.911,14.669,8.525,1.343,6.018,1.617,1.0,0.0
study,48,reject,frame_crossing+arena+ref_contact,4.173,4.455,14.642,6.419,1.013,4.226,1.015,2.0,0.0
study,49,reject,frame_crossing+arena+ref_contact,4.457,4.547,14.761,7.519,1.033,4.606,1.235,1.0,0.0
study,50,reject,frame_crossing+arena+ref_contact,4.847,6.699,14.735,9.166,1.523,7.38,1.228,3.0,0.0
study,51,reject,frame_crossing+arena+ref_contact,4.81,3.948,14.709,5.687,1.0,4.81,1.614,1.0,0.0
study,52,reject,frame_crossing+arena+ref_contact,4.564,5.054,14.719,9.671,1.149,5.243,1.219,1.0,0.0
study,53,reject,frame_crossing+arena+ref_contact,4.893,5.726,14.722,8.931,1.301,6.367,1.491,1.0,0.0
study,54,reject,frame_crossing+arena+ref_contact,5.031,6.288,14.728,7.754,1.429,7.189,2.482,2.0,0.0
study,55,reject,frame_crossing+arena+ref_contact,4.319,4.971,14.662,9.367,1.13,4.88,1.538,2.0,0.0
study,56,reject,frame_crossing+arena+ref_contact,4.923,4.404,14.672,6.368,1.001,4.928,1.398,1.0,0.0
study,57,reject,frame_crossing+arena+ref_contact,4.227,5.265,14.673,10.311,1.196,5.058,1.245,2.0,0.0
study,58,reject,frame_crossing+arena+ref_contact,4.776,6.03,14.677,7.187,1.371,6.546,1.398,6.0,0.0
study,59,reject,frame_crossing+arena+ref_contact,3.976,5.151,14.742,7.78,1.171,4.655,1.553,1.0,0.0
study,60,reject,frame_crossing+arena+ref_contact,4.808,5.274,14.719,6.857,1.199,5.763,1.172,2.0,0.0
study,61,reject,arena,4.083,3.729,14.735,8.174,1.0,4.083,1.799,0.0,0.037
study,62,reject,arena,4.298,5.024,14.683,7.255,1.142,4.908,1.461,0.0,0.04
study,63,reject,arena,4.005,5.319,14.615,7.373,1.209,4.842,1.96,0.0,0.036
study,64,reject,frame_crossing+arena+ref_contact,5.02,4.776,14.653,7.412,1.086,5.449,1.405,2.0,0.0
study,65,reject,arena+ref_contact,3.878,3.959,14.622,5.874,1.0,3.878,1.148,0.0,0.0
study,66,reject,frame_crossing+arena+ref_contact,4.518,5.176,14.595,6.155,1.176,5.314,1.097,1.0,0.0
study,67,reject,frame_crossing+arena+ref_contact,4.927,6.344,14.624,6.621,1.442,7.103,1.921,1.0,0.0
study,68,reject,frame_crossing+arena+ref_contact,4.985,5.268,14.74,9.451,1.197,5.969,1.333,1.0,0.0
study,69,reject,frame_crossing+arena+ref_contact,5.135,6.456,14.732,8.413,1.467,7.534,2.417,3.0,0.0
study,70,reject,frame_crossing+ref_contact,4.373,4.99,14.707,9.972,1.134,4.96,1.13,2.0,0.0
study,71,reject,frame_crossing+arena+ref_contact,4.72,5.349,14.696,7.001,1.216,5.738,1.639,1.0,0.0
study,72,reject,arena,3.637,4.067,14.66,5.744,1.0,3.637,1.148,0.0,0.034
study,73,reject,frame_crossing+arena+ref_contact,4.258,5.408,14.72,7.292,1.229,5.233,1.253,1.0,0.0
study,74,reject,frame_crossing+ref_contact,4.49,5.262,14.725,8.018,1.196,5.37,1.205,1.0,0.0
study,75,reject,frame_crossing+arena+ref_contact,4.12,5.275,14.749,6.375,1.199,4.939,1.496,1.0,0.0
study,76,reject,frame_crossing+arena+ref_contact,4.832,4.956,14.747,8.086,1.126,5.443,1.505,3.0,0.0
study,77,reject,arena,4.249,5.557,14.742,5.403,1.263,5.366,1.453,0.0,0.037
study,78,reject,frame_crossing+arena+ref_contact,4.77,3.735,14.693,5.015,1.0,4.77,1.553,1.0,0.0
study,79,reject,arena,4.518,5.242,14.733,6.25,1.191,5.382,1.031,0.0,0.042
study,80,reject,arena,4.168,5.486,14.761,7.397,1.247,5.198,1.477,0.0,0.037
study,81,reject,frame_crossing+arena+ref_contact,4.399,6.182,14.664,7.092,1.405,6.18,1.172,1.0,0.0
study,82,reject,frame_crossing+arena+ref_contact,4.52,5.228,14.659,7.63,1.188,5.371,1.158,1.0,0.0
study,83,reject,frame_crossing+arena+ref_contact,4.603,6.221,14.714,6.099,1.414,6.508,1.073,1.0,0.0
study,84,reject,frame_crossing+arena+ref_contact,3.899,3.905,14.698,7.099,1.0,3.899,1.035,1.0,0.0
